label,value
"Kolambugan  
                        ",798
"Lala  
                        ",799
"Linamon  
                        ",800
"Magsaysay  
                        ",801
"Maigo  
                        ",802
"Matungao  
                        ",803
"Munai  
                        ",804
"Nunungan  
                        ",805
"Pantao Ragat  
                        ",806
"Pantar  
                        ",807
"Poona Piagapo  
                        ",808
"Salvador  
                        ",809
"Sapad  
                        ",810
"Sultan Naga Dimaporo  
                        ",811
"Tagoloan  
                        ",812
"Tangcal  
                        ",813
"Tubod  
                        ",814
"Marawi City  
                        ",815
"Bacolod-Kalawi  
                        ",816
"Balabagan  
                        ",817
"Balindong  
                        ",818
"Bayang  
                        ",819
"Binidayan  
                        ",820
"Buadiposo-Buntong  
                        ",821
"Bubong  
                        ",822
"Bumbaran  
                        ",823
"Butig  
                        ",824
"Calanogas  
                        ",825
"Ditsaan-Ramain  
                        ",826
"Ganassi  
                        ",827
"Kapai  
                        ",828
"Kapatagan  
                        ",829
"Lumba-Bayabao  
                        ",830
"Lumbaca-Unayan  
                        ",831
"Lumbatan  
                        ",832
"Lumbayanague  
                        ",833
"Madalum  
                        ",834
"Madamba  
                        ",835
"Maguing  
                        ",836
"Malabang  
                        ",837
"Marantao  
                        ",838
"Marogong  
                        ",839
"Masiu  
                        ",840
"Mulondo  
                        ",841
"Pagayawan  
                        ",842
"Piagapo  
                        ",843
"Poona Bayabao  
                        ",844
"Pualas  
                        ",845
"Saguiaran  
                        ",846
"Sultan Dumalondong  
                        ",847
"Picong  
                        ",848
"Tagoloan II  
                        ",849
"Tamparan  
                        ",850
"Taraka  
                        ",851
"Tubaran  
                        ",852
"Tugaya  
                        ",853
"Wao  
                        ",854
"Ormoc City  
                        ",855
"Tacloban City  
                        ",856
"Abuyog  
                        ",857
"Alangalang  
                        ",858
"Albuera  
                        ",859
"Babatngon  
                        ",860
"Barugo  
                        ",861
"Bato  
                        ",862
"Baybay  
                        ",863
"Burauen  
                        ",864
"Calubian  
                        ",865
"Capoocan  
                        ",866
"Carigara  
                        ",867
"Dagami  
                        ",868
"Dulag  
                        ",869
"Hilongos  
                        ",870
"Hindang  
                        ",871
"Inopacan  
                        ",872
"Isabel  
                        ",873
"Jaro  
                        ",874
"Javier  
                        ",875
"Julita  
                        ",876
"Kananga  
                        ",877
"La Paz  
                        ",878
"Leyte  
                        ",879
"Liloan  
                        ",880
"MacArthur  
                        ",881
"Mahaplag  
                        ",882
"Matag-ob  
                        ",883
"Matalom  
                        ",884
"Mayorga  
                        ",885
"Merida  
                        ",886
"Palo  
                        ",887
"Palompon  
                        ",888
"Pastrana  
                        ",889
"San Isidro  
                        ",890
"San Miguel  
                        ",891
"Santa Fe  
                        ",892
"Sogod  
                        ",893
"Tabango  
                        ",894
"Tabontabon  
                        ",895
"Tanauan  
                        ",896
"Tolosa  
                        ",897
"Tunga  
                        ",898
"Villaba  
                        ",899
"Cotabato City  
                        ",900
"Ampatuan  
                        ",901
"Barira  
                        ",902
"Buldon  
                        ",903
"Buluan  
                        ",904
"Datu Abdullah Sangki  
                        ",905
"Datu Anggal Midtimbang  
                        ",906
"Datu Blah T. Sinsuat  
                        ",907
"Datu Hoffer Ampatuan  
                        ",908
"Datu Montawal  
                        ",909
"Datu Odin Sinsuat  
                        ",910
"Datu Paglas  
                        ",911
"Datu Piang  
                        ",912
"Datu Salibo  
                        ",913
"Datu Saudi-Ampatuan  
                        ",914
"Datu Unsay  
                        ",915
"General Salipada K. Pendatun  
                        ",916
"Guindulungan  
                        ",917
"Kabuntalan  
                        ",918
"Mamasapano  
                        ",919
"Mangudadatu  
                        ",920
"Matanog  
                        ",921
"Northern Kabuntalan  
                        ",922
"Pagalungan  
                        ",923
"Paglat  
                        ",924
"Pandag  
                        ",925
"Parang  
                        ",926
"Rajah Buayan  
                        ",927
"Shariff Aguak  
                        ",928
"Shariff Saydona Mustapha  
                        ",929
"South Upi  
                        ",930
"Sultan Kudarat  
                        ",931
"Sultan Mastura  
                        ",932
"Sultan sa Barongis  
                        ",933
"Talayan  
                        ",934
"Talitay  
                        ",935
"Upi  
                        ",936
"Boac  
                        ",937
"Buenavista  
                        ",938
"Gasan  
                        ",939
"Mogpog  
                        ",940
"Santa Cruz  
                        ",941
"Torrijos  
                        ",942
"Masbate City  
                        ",943
"Aroroy  
                        ",944
"Baleno  
                        ",945
"Balud  
                        ",946
"Batuan  
                        ",947
"Cataingan  
                        ",948
"Cawayan  
                        ",949
"Claveria  
                        ",950
"Dimasalang  
                        ",951
"Esperanza  
                        ",952
"Mandaon  
                        ",953
"Milagros  
                        ",954
"Mobo  
                        ",955
"Monreal  
                        ",956
"Palanas  
                        ",957
"Pio V. Corpuz  
                        ",958
"Placer  
                        ",959
"San Fernando  
                        ",960
"San Jacinto  
                        ",961
"San Pascual  
                        ",962
"Uson  
                        ",963
"Oroquieta City  
                        ",981
"Ozamiz City  
                        ",982
"Tangub City  
                        ",983
"Aloran  
                        ",984
"Baliangao  
                        ",985
"Bonifacio  
                        ",986
"Calamba  
                        ",987
"Clarin  
                        ",988
"Concepcion  
                        ",989
"Don Victoriano Chiongbian  
                        ",990
"Jimenez  
                        ",991
"Lopez Jaena  
                        ",992
"Panaon  
                        ",993
"Plaridel  
                        ",994
"Sapang Dalaga  
                        ",995
"Sinacaban  
                        ",996
"Tudela  
                        ",997
"Cagayan de Oro  
                        ",998
"Gingoog City  
                        ",999
"Alubijid  
                        ",1000
"Balingasag  
                        ",1001
"Balingoan  
                        ",1002
"Binuangan  
                        ",1003
"Claveria  
                        ",1004
"El Salvador  
                        ",1005
"Gitagum  
                        ",1006
"Initao  
                        ",1007
"Jasaan  
                        ",1008
"Kinoguitan  
                        ",1009
"Lagonglong  
                        ",1010
